delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response_routine.started,text.started,textbox.started,button.started,response_routine.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,unexp,333,13,20,space,0.6486433999998553,None,550,1,[2.945421399999759],[2.9454359999999724],20,13,333,3,1847.7254666,,1847.7110096000001,1847.7254666,1848.7268328,1848.7268328,1848.7268328,1849.3771432999997,space,0.6486433999998553,None,1849.3785242,1849.4922133666666,1849.8149684999998,1849.7930489,1849.7937839,1849.8149684999998,1849.8149684999998,1849.8149684999998,1852.7608704999998,550,1,[2.945421399999759],[2.9454359999999724],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,334,14,20,space,0.08693029999994906,None,999,1,[2.3395525000000816],[2.339562499999829],20,14,334,9,1852.7752989,,1852.7611638999997,1852.7752989,1853.7611137,1853.7611137,1853.7768705999997,1853.8612613999999,space,0.08693029999994906,None,1853.8620651,1853.9605223666665,1854.2863308,1854.2653588999997,1854.2659856999999,1854.2863308,1854.2863308,1854.2863308,1856.6262664,999,1,[2.3395525000000816],[2.339562499999829],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,335,15,20,space,0.2251194000000396,None,999,1,[1.3124367999998867],[1.312449900000047],20,15,335,14,1856.6425359,,1856.6266836,1856.6425359,1857.6254040999997,1857.6254040999997,1857.6421993999998,1857.8589416999998,space,0.2251194000000396,None,1857.8596542999999,1858.5586371666666,1858.8817903,1858.8617676999997,1858.8623914999998,1858.8817903,1858.8817903,1858.8817903,1860.1948554,999,1,[1.3124367999998867],[1.312449900000047],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,336,0,21,space,0.4251914999999826,None,999,1,[1.8367616000000453],[1.836775100000068],21,0,336,7,1860.2085628,,1860.1952612999999,1860.2085628,1861.2092877,1861.2092877,1861.2092877,1861.6429481,space,0.4251914999999826,None,1861.6438313999997,1862.0423045666664,1862.3562505,1862.3377682,1862.3384519,1862.3562505,1862.3562505,1862.3562505,1864.1934726,999,1,[1.8367616000000453],[1.836775100000068],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,337,1,21,space,0.4722116000002643,None,999,1,[1.7206625000003442],[1.720673600000282],21,1,337,14,1864.2090251,,1864.1940817,1864.2090251,1865.2086110999999,1865.2086110999999,1865.2086110999999,1865.6925904,space,0.4722116000002643,None,1865.693557,1866.3936839666665,1866.7059829,1866.6880384,1866.6886521000001,1866.7059829,1866.7059829,1866.7059829,1868.427099,999,1,[1.7206625000003442],[1.720673600000282],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,400,unexp,338,2,21,space,0.3651476999998522,None,550,1,[2.89831839999988],[2.8983281999999235],21,2,338,1,1868.4423317,,1868.4274542999997,1868.4423317,1869.4426995999997,1869.4426995999997,1869.4426995999997,1869.8097938,space,0.3651476999998522,None,1869.8105035999997,1870.2257417666667,1870.5449163999997,1870.5261639999999,1870.5267018999998,1870.5449163999997,1870.5449163999997,1870.5449163999997,1873.4435936,550,1,[2.89831839999988],[2.8983281999999235],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,339,3,21,space,0.5076482999998007,None,999,1,[2.167616899999757],[2.16762719999997],21,3,339,6,1873.4587848,,1873.4438821999997,1873.4587848,1874.4599353999997,1874.4599353999997,1874.4599353999997,1874.9786381999998,space,0.5076482999998007,None,1874.9800421,1875.0921032666668,1875.4084831,1875.3907718,1875.3912532,1875.4084831,1875.4084831,1875.4084831,1877.5764746999998,999,1,[2.167616899999757],[2.16762719999997],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,340,4,21,space,0.18400340000016513,None,999,1,[1.5655259000000115],[1.5655392000003303],21,4,340,12,1877.5926832999999,,1877.5767682,1877.5926832999999,1878.5773561,1878.5773561,1878.5942427,1878.7783899,space,0.18400340000016513,None,1878.7793938,1878.8775485666667,1879.1949526999997,1879.1744679999997,1879.1750314,1879.1949526999997,1879.1949526999997,1879.1949526999997,1880.7612550999997,999,1,[1.5655259000000115],[1.5655392000003303],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,341,5,21,space,0.37537620000011884,None,999,1,[1.6964477000001352],[1.69645730000002],21,5,341,15,1880.7756789999999,,1880.7615774,1880.7756789999999,1881.7757275999998,1881.7757275999998,1881.7757275999998,1882.1610421999999,space,0.37537620000011884,None,1882.1620659,1882.2775111666667,1882.5966258999997,1882.5763407999998,1882.5769073000001,1882.5966258999997,1882.5966258999997,1882.5966258999997,1884.2934624,999,1,[1.6964477000001352],[1.69645730000002],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,400,unexp,342,6,21,space,0.5498099999999795,None,550,1,[3.687107400000059],[3.687117699999817],21,6,342,0,1884.3089492,,1884.2937545,1884.3089492,1885.3089887,1885.3089887,1885.3089887,1885.8598269999998,space,0.5498099999999795,None,1885.8606193,1885.9592499666667,1886.2724236999998,1886.2545126,1886.254957,1886.2724236999998,1886.2724236999998,1886.2724236999998,1889.9599365,550,1,[3.687107400000059],[3.687117699999817],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
