trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
3,I,>>><>,<,left,31,3,7,right,0,4.734504800000025,None,7,3,31,2,69.22571040000003,,69.21278719999998,69.22571040000003,69.22571040000003,69.708999,69.72576559999999,73.97675329999998,right,0,4.734504800000025,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,32,0,8,right,1,0.9771841999999538,None,8,0,32,1,73.99234430000001,,73.97958670000003,73.99234430000001,73.99234430000001,74.49234669999998,74.49234669999998,74.9763173,right,1,0.9771841999999538,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,33,1,8,left,0,3.015326700000003,None,8,1,33,3,74.99141980000002,,74.98013630000003,74.99141980000002,74.99141980000002,75.4758716,75.4924699,78.01028630000002,left,0,3.015326700000003,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,34,2,8,left,1,1.2424544000000424,None,8,2,34,0,78.0261653,,78.0148752,78.0261653,78.0261653,78.52571290000003,78.52571290000003,79.2761711,left,1,1.2424544000000424,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,35,3,8,right,0,3.347306200000048,None,8,3,35,2,79.2927611,,79.27908819999999,79.2927611,79.2927611,79.77607060000003,79.79250710000002,82.64284100000003,right,0,3.347306200000048,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,36,0,9,right,1,1.1183345000000031,None,9,0,36,1,82.65902010000002,,82.64625840000002,82.65902010000002,82.65902010000002,83.1425777,83.1592187,83.79303270000003,right,1,1.1183345000000031,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,37,1,9,left,0,3.1173900000000003,None,9,1,37,3,83.80925250000001,,83.79613190000003,83.80925250000001,83.80925250000001,84.29244269999998,84.30976079999999,86.9431712,left,0,3.1173900000000003,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,38,2,9,right,0,2.3319602999999915,None,9,2,38,2,86.95920160000003,,86.94627430000003,86.95920160000003,86.95920160000003,87.44230149999999,87.4598628,89.29356310000003,right,0,2.3319602999999915,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,39,3,9,right,0,1.5261572,None,9,3,39,0,89.30906149999998,,89.29716630000001,89.30906149999998,89.30906149999998,89.80910440000002,89.80910440000002,90.84287799999998,right,0,1.5261572,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,40,0,10,right,0,2.4891283000000044,None,10,0,40,2,90.85930410000003,,90.84587349999998,90.85930410000003,90.85930410000003,91.34274260000001,91.35890310000002,93.35987520000003,right,0,2.4891283000000044,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
